label,message,length,label_encoded,clean_message,length_bin
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,0,eh u remember how spell his name yes i did he v naughty make until i v wet,pendek
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,58,0,fine if thatåõs the way u feel thatåõs the way its gota b,pendek
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",156,1,england v macedonia dont miss the goalsteam news txt ur national team to eg england to trywales scotland txtì¼ poboxoxwwq,panjang
ham,Is that seriously how you spell his name?,41,0,is that seriously how you spell his name,sangat pendek
ham,IÛ÷m going to try for 2 months ha ha only joking,49,0,iû÷m going to try for months ha ha only joking,sangat pendek
ham,So Ì_ pay first lar... Then when is da stock comin...,53,0,so ì pay first lar then when is da stock comin,pendek
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,0,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,pendek
ham,Ffffffffff. Alright no way I can meet up with you sooner?,57,0,ffffffffff alright no way i can meet up with you sooner,pendek
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,0,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,sedang
ham,Lol your always so convincing.,30,0,lol your always so convincing,sangat pendek
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,0,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love,sedang
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,0,im back amp were packing the car now ill let you know if theres room,pendek
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,0,ahhh work i vaguely remember that what does it feel like lol,pendek
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,0,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,sedang
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,0,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we wont go there not doing too badly cheers you,panjang
ham,K tell me anything about you.,29,0,k tell me anything about you,sangat pendek
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,0,for fear of fainting with the of all that housework you just did quick have a cuppa,pendek
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,159,1,thanks for your subscription to ringtone uk your mobile will be charged å£month please confirm by replying yes or no if you reply no you will not be charged,panjang
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,123,0,yup ok i go home look at the timings then i msg ì again xuhui going to learn on nd may too but her lesson is at am,sedang
ham,"Oops, I'll let you know when my roommate's done",47,0,oops ill let you know when my roommates done,sangat pendek
ham,I see the letter B on my car,28,0,i see the letter b on my car,sangat pendek
ham,Anything lor... U decide...,27,0,anything lor u decide,sangat pendek
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,0,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,panjang
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,0,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,pendek
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,0,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,sedang
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,1,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,panjang
ham,WHO ARE YOU SEEING?,19,0,who are you seeing,sangat pendek
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,0,great i hope you like your man well endowed i am ltgt inches,pendek
ham,No calls..messages..missed calls,32,0,no callsmessagesmissed calls,sangat pendek
ham,Didn't you get hep b immunisation in nigeria.,45,0,didnt you get hep b immunisation in nigeria,sangat pendek
ham,"Fair enough, anything going on?",31,0,fair enough anything going on,sangat pendek
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,0,yeah hopefully if tyler cant do it i could maybe ask around a bit,pendek
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,0,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,sedang
ham,What you thinked about me. First time you saw me in class.,58,0,what you thinked about me first time you saw me in class,pendek
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,0,a gram usually runs like ltgt a half eighth is smarter though and gets you almost a whole second gram for ltgt,sedang
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,0,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight,pendek
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",291,0,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing,sangat panjang
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,1,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,sedang
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,0,do you know what mallika sherawat did yesterday find out now lturlgt,pendek
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,1,congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bxipwe pm dont miss out,panjang
ham,"Sorry, I'll call later in meeting.",34,0,sorry ill call later in meeting,sangat pendek
ham,Tell where you reached,22,0,tell where you reached,sangat pendek
ham,Yes..gauti and sehwag out of odi series.,40,0,yesgauti and sehwag out of odi series,sangat pendek
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,0,your gonna have to pick up a burger for yourself on your way home i cant even move pain is killing me,sedang
ham,Ha ha ha good joke. Girls are situation seekers.,48,0,ha ha ha good joke girls are situation seekers,sangat pendek
ham,Its a part of checking IQ,25,0,its a part of checking iq,sangat pendek
ham,"Sorry my roommates took forever, it ok if I come by now?",56,0,sorry my roommates took forever it ok if i come by now,pendek
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,0,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,sedang
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",153,1,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a å£ bonus prize call,panjang
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",124,0,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,sedang
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",161,1,urgent ur awarded a complimentary trip to eurodisinc trav acoentry or å£ to claim txt dis to å£morefrmmob shracomorsglsuplt ls aj,panjang
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",80,1,did you hear about the new divorce barbie it comes with all of kens stuff,pendek
ham,I plane to give on this month end.,34,0,i plane to give on this month end,sangat pendek
ham,Wah lucky man... Then can save money... Hee...,46,0,wah lucky man then can save money hee,sangat pendek
ham,Finished class where are you.,29,0,finished class where are you,sangat pendek
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,0,hi babe im at home now wanna do something xx,sangat pendek
ham,K..k:)where are you?how did you performed?,42,0,kkwhere are youhow did you performed,sangat pendek
ham,U can call me now...,20,0,u can call me now,sangat pendek
ham,I am waiting machan. Call me once you free.,43,0,i am waiting machan call me once you free,sangat pendek
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,0,thats cool i am a gentleman and will treat you with dignity and respect,pendek
ham,I like you peoples very much:) but am very shy pa.,50,0,i like you peoples very much but am very shy pa,sangat pendek
ham,Does not operate after  &lt;#&gt;  or what,42,0,does not operate after ltgt or what,sangat pendek
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,0,its not the same here still looking for a job how much do tas earn there,pendek
ham,"Sorry, I'll call later",22,0,sorry ill call later,sangat pendek
ham,K. Did you call me just now ah? ,32,0,k did you call me just now ah,sangat pendek
ham,Ok i am on the way to home hi hi,32,0,ok i am on the way to home hi hi,sangat pendek
ham,You will be in the place of that man,36,0,you will be in the place of that man,sangat pendek
ham,Yup next stop.,14,0,yup next stop,sangat pendek
ham,"I call you later, don't have network. If urgnt, sms me.",55,0,i call you later dont have network if urgnt sms me,pendek
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,0,for real when u getting on yo i only need more tickets and one more jacket and im done i already used all my multis,sedang
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,0,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros,sedang
ham,I'm really not up to it still tonight babe,42,0,im really not up to it still tonight babe,sangat pendek
ham,"Ela kano.,il download, come wen ur free..",41,0,ela kanoil download come wen ur free,sangat pendek
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,62,0,yeah do donû÷t stand to close tho youû÷ll catch something,pendek
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,0,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuffmoro and that includes all my time sheets and that sorry,panjang
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,0,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling,sedang
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,139,1,please call our customer service representative on between ampm as you have won a guaranteed å£ cash or å£ prize,sedang
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,0,havent planning to buy later i check already lido only got show in e afternoon u finish work already,sedang
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",125,1,your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml,sedang
ham,Watching telugu movie..wat abt u?,33,0,watching telugu moviewat abt u,sangat pendek
ham,i see. When we finish we have loads of loans to pay,51,0,i see when we finish we have loads of loans to pay,pendek
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",184,0,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u ham,panjang
ham,Please don't text me anymore. I have nothing else to say.,57,0,please dont text me anymore i have nothing else to say,pendek
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,0,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,pendek
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,0,im still looking for a car to buy and have not gone the driving test yet,pendek
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,0,wow youre right i didnt mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,panjang
ham,Umma my life and vava umma love you lot dear,44,0,umma my life and vava umma love you lot dear,sangat pendek
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,0,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,pendek
ham,"Aight, I'll hit you up when I get some cash",43,0,aight ill hit you up when i get some cash,sangat pendek
ham,How would my ip address test that considering my computer isn't a minecraft server,82,0,how would my ip address test that considering my computer isnt a minecraft server,pendek
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,0,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,sedang
ham,Dont worry. I guess he's busy.,30,0,dont worry i guess hes busy,sangat pendek
ham,What is the plural of the noun research?,40,0,what is the plural of the noun research,sangat pendek
ham,Going for dinner.msg you after.,31,0,going for dinnermsg you after,sangat pendek
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,0,im ok wif it cos i like try new things but i scared u dun like mah cos u said not too loud,pendek
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,159,1,gent we are trying to contact you last weekends draw shows that you won a å£ prize guaranteed call claim code k valid hrs only ppm,panjang
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,0,wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened,sedang
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,0,as i entered my cabin my pa said happy bday boss i felt special she askd me lunch after lunch she invited me to her apartment we went there,panjang
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,153,1,you are a winner u have been specially selected receive å£ or a holiday flights inc speak to a live operator claim pmin,panjang
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,72,0,goodo yes we must speak friday eggpotato ratio for tortilla needed,pendek
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,0,hmmmy uncle just informed me that hes paying the school directly so pls buy food,pendek
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,1,private your account statement for shows unredeemed bonus points to claim call identifier code expires,sedang
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",157,1,urgent your mobile no was awarded å£ bonus caller prize on this is our final try to contact u call from landline boxwrc ppm,panjang
ham,here is my new address -apples&pairs&all that malarky,53,0,here is my new address applespairsall that malarky,pendek
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,1,todays voda numbers ending are selected to receive a award if you have a match please call quoting claim code standard rates app,panjang
ham,I am going to sao mu today. Will be done only at 12 ,52,0,i am going to sao mu today will be done only at,pendek
ham,ÌÏ predict wat time Ì_'ll finish buying?,40,0,ìï predict wat time ìll finish buying,sangat pendek
ham,"Good stuff, will do.",20,0,good stuff will do,sangat pendek
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,0,just so that you knowyetunde hasnt sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldnt have imposed anything on you in the first place so for that i apologise,sangat panjang
ham,Are you there in room.,22,0,are you there in room,sangat pendek
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,0,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,sedang
ham,K..k:)how much does it cost?,28,0,kkhow much does it cost,sangat pendek
ham,I'm home.,9,0,im home,sangat pendek
ham,"Dear, will call Tmorrow.pls accomodate.",39,0,dear will call tmorrowpls accomodate,sangat pendek
ham,First answer my question.,25,0,first answer my question,sangat pendek
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,126,1,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to å£ sptyrone,sedang
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162,1,want get laid tonight want real dogging locations sent direct ur mob join the uks largest dogging network bt txting gravel to nt eca pmsgp,panjang
ham,I only haf msn. It's yijue@hotmail.com,38,0,i only haf msn its yijuehotmailcom,sangat pendek
ham,He is there. You call and meet him,34,0,he is there you call and meet him,sangat pendek
ham,No no. I will check all rooms befor activities,46,0,no no i will check all rooms befor activities,sangat pendek
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,1,youll not rcv any more msgs from the chat svc for free hardcore services text go to if u get nothing u must age verify with yr network try again,panjang
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,86,0,got c i lazy to type i forgot ì in lect i saw a pouch but like not v nice,pendek
ham,"K, text me when you're on the way",33,0,k text me when youre on the way,sangat pendek
ham,"Sir, Waiting for your mail.",27,0,sir waiting for your mail,sangat pendek
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",158,0,a swt thought nver get tired of doing little things lovable persons cozsomtimes those little things occupy d biggest part in their hearts gud ni,panjang
ham,I know you are. Can you pls open the back?,42,0,i know you are can you pls open the back,sangat pendek
ham,Yes see ya not on the dot,25,0,yes see ya not on the dot,sangat pendek
ham,Whats the staff name who is taking class for us?,48,0,whats the staff name who is taking class for us,sangat pendek
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159,1,freemsg why havent you replied to my text im randy sexy female and live local luv to hear from u netcollex ltd p per msg reply stop to end,panjang
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,0,ummmawill call after check inour life will begin from qatar so pls pray very hard,pendek
ham,K..i deleted my contact that why?,33,0,ki deleted my contact that why,sangat pendek
ham,Sindu got job in birla soft ..,30,0,sindu got job in birla soft,sangat pendek
ham,The wine is flowing and i'm i have nevering..,45,0,the wine is flowing and im i have nevering,sangat pendek
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,59,0,yup i thk cine is better cos no need go down plaza mah,pendek
ham,Ok... Ur typical reply...,25,0,ok ur typical reply,sangat pendek
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",384,0,you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows ill see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one,sangat panjang
ham,Aaooooright are you at work?,28,0,aaooooright are you at work,sangat pendek
ham,I'm leaving my house now...,27,0,im leaving my house now,sangat pendek
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157,0,hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of meare you missing me,panjang
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,124,1,customer service annoncement you have a new years delivery waiting for you please call now to arrange delivery,sedang
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,146,1,you are a winner u have been specially selected receive å£ cash or a holiday flights inc speak to a live operator claim,sedang
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,115,0,keep yourself safe for me because i need you and i miss you already and i envy everyone that sees you in real life,sedang
ham,New car and house for my parents.:)i have only new job in hand:),64,0,new car and house for my parentsi have only new job in hand,pendek
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,85,0,im so in love with you im excited each day i spend with you you make me so happy,pendek
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,152,1,pls stop bootydelious f is inviting you to be her friend reply yes or no see her wwwsmsacubootydelious stop send stop frnd to,panjang
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",155,1,bangbabes ur order is on the way u should receive a service msg download ur content if u do not goto wap bangb tv on ur mobile internetservice menu,panjang
ham,I place all ur points on e cultures module already.,51,0,i place all ur points on e cultures module already,pendek
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,157,1,urgent we are trying to contact you last weekends draw shows that you have won a å£ prize guaranteed call claim code s valid hrs only,panjang
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",74,0,hi frnd which is best way to avoid missunderstding wit our beloved ones,pendek
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,67,0,great escape i fancy the bridge but needs her lager see you tomo,pendek
ham,Yes :)it completely in out of form:)clark also utter waste.,59,0,yes it completely in out of formclark also utter waste,pendek
ham,"Sir, I need AXIS BANK account no and bank address.",50,0,sir i need axis bank account no and bank address,sangat pendek
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",94,0,hmmm thk sure got time to hop ard ya can go free abt muz call u to discuss liao,pendek
ham,What time you coming down later? ,33,0,what time you coming down later,sangat pendek
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",105,0,bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m,sedang
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",61,0,well im gonna finish my bath now have a goodfine night,pendek
ham,Let me know when you've got the money so carlos can make the call,65,0,let me know when youve got the money so carlos can make the call,pendek
ham,U still going to the mall?,26,0,u still going to the mall,sangat pendek
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",146,0,turns out my friends are staying for the whole show and wont be back til ltgt so feel free to go ahead and smoke that ltgt worth,sedang
ham,Text her. If she doesnt reply let me know so i can have her log in,66,0,text her if she doesnt reply let me know so i can have her log in,pendek
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,126,0,hi you just spoke to maneesha v wed like to know if you were satisfied with the experience reply toll free with yes or no,sedang
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,159,0,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr weekend,panjang
ham,Lol no. U can trust me.,23,0,lol no u can trust me,sangat pendek
ham,ok. I am a gentleman and will treat you with dignity and respect.,65,0,ok i am a gentleman and will treat you with dignity and respect,pendek
ham,"He will, you guys close?",24,0,he will you guys close,sangat pendek
ham,Going on nothing great.bye,26,0,going on nothing greatbye,sangat pendek
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,152,0,hello handsome are you finding that job not being lazy working towards getting back that net for mummy wheres my boytoy now does he miss me,panjang
ham,"Haha awesome, be there in a minute",34,0,haha awesome be there in a minute,sangat pendek
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,149,1,please call our customer service representative on freephone between ampm as you have won a guaranteed å£ cash or å£ prize,sedang
